epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19362.2,1.07365,0.48432,1.07126,0.87507,0.71649,0.79414,0.43834,1.4233,0.79917,0.85885,0.007228,0.007228,0.007228
44,19807.2,1.07133,0.4866,1.072,0.89538,0.70582,0.79327,0.43597,1.4243,0.79845,0.85817,0.007162,0.007162,0.007162
45,20252.2,1.07538,0.48338,1.06941,0.89528,0.70513,0.79485,0.43483,1.43207,0.79644,0.85779,0.007096,0.007096,0.007096
46,20697.2,1.06827,0.48205,1.07154,0.83621,0.73684,0.79495,0.43992,1.42098,0.79275,0.85625,0.00703,0.00703,0.00703
47,21142.4,1.07082,0.48068,1.06884,0.84157,0.74742,0.79495,0.44248,1.41806,0.7898,0.85561,0.006964,0.006964,0.006964
48,21587.3,1.06856,0.48271,1.06913,0.82203,0.74742,0.79448,0.44033,1.41595,0.78528,0.85479,0.006898,0.006898,0.006898
49,22032.6,1.06796,0.48074,1.06848,0.82519,0.75431,0.79529,0.44413,1.41319,0.77978,0.85482,0.006832,0.006832,0.006832
50,22477.8,1.06339,0.47664,1.06465,0.82057,0.76289,0.79527,0.44583,1.40963,0.77935,0.85416,0.006766,0.006766,0.006766
51,22922.8,1.05883,0.47492,1.06526,0.82447,0.76289,0.79511,0.452,1.40314,0.78056,0.85367,0.0067,0.0067,0.0067
52,23367.8,1.05741,0.4732,1.06383,0.82217,0.76289,0.79543,0.45244,1.39771,0.77707,0.85227,0.006634,0.006634,0.006634
53,23813,1.05991,0.47403,1.06202,0.83594,0.76167,0.79599,0.45334,1.39229,0.77527,0.85157,0.006568,0.006568,0.006568
54,24258.7,1.05661,0.46886,1.06005,0.82502,0.76289,0.79482,0.45272,1.39681,0.77017,0.8517,0.006502,0.006502,0.006502
55,24703.8,1.05442,0.46781,1.0587,0.83428,0.75253,0.79589,0.45152,1.39882,0.76529,0.85166,0.006436,0.006436,0.006436
56,25149.5,1.0512,0.46781,1.06015,0.84324,0.74867,0.79621,0.4504,1.39748,0.76497,0.85147,0.00637,0.00637,0.00637
57,25594.8,1.05545,0.46911,1.06166,0.84227,0.74742,0.79599,0.45215,1.40628,0.76571,0.85138,0.006304,0.006304,0.006304
58,26040,1.05375,0.46675,1.06157,0.83398,0.75094,0.79627,0.44886,1.40778,0.76601,0.85143,0.006238,0.006238,0.006238
59,26485.1,1.04858,0.46659,1.05852,0.82414,0.74742,0.79705,0.45166,1.40295,0.76351,0.85117,0.006172,0.006172,0.006172
60,26930.5,1.04528,0.46358,1.05645,0.81513,0.75001,0.79602,0.45047,1.4061,0.76407,0.85129,0.006106,0.006106,0.006106
61,27376.1,1.04478,0.46749,1.05353,0.83354,0.74742,0.80076,0.44911,1.4047,0.76162,0.85144,0.00604,0.00604,0.00604
62,27821.6,1.0431,0.46136,1.05619,0.83192,0.74742,0.80149,0.45142,1.39423,0.76043,0.8512,0.005974,0.005974,0.005974
63,28267.1,1.03176,0.45607,1.05152,0.84907,0.72495,0.80447,0.45324,1.39088,0.76097,0.85047,0.005908,0.005908,0.005908
64,28712.2,1.03603,0.45944,1.05264,0.85632,0.73731,0.80497,0.45209,1.38858,0.76101,0.84977,0.005842,0.005842,0.005842
65,29157.7,1.03449,0.45699,1.05042,0.84629,0.73196,0.80261,0.45212,1.38618,0.7585,0.84954,0.005776,0.005776,0.005776
66,29603,1.03076,0.45517,1.04852,0.88316,0.70134,0.80258,0.45639,1.37915,0.75709,0.84964,0.00571,0.00571,0.00571
67,30048.2,1.02683,0.45404,1.0504,0.8408,0.73502,0.79643,0.45437,1.38276,0.75689,0.84892,0.005644,0.005644,0.005644
68,30493.5,1.02575,0.45269,1.05054,0.82983,0.74742,0.80337,0.45664,1.38436,0.75732,0.84843,0.005578,0.005578,0.005578
69,30939.1,1.02164,0.44882,1.04843,0.82866,0.74787,0.8039,0.45505,1.38736,0.7574,0.84886,0.005512,0.005512,0.005512
70,31384.6,1.02323,0.45175,1.04493,0.82518,0.74742,0.79728,0.45292,1.38546,0.75666,0.8488,0.005446,0.005446,0.005446
71,31830.1,1.02149,0.44931,1.04649,0.81105,0.75258,0.7972,0.4532,1.38376,0.75495,0.84907,0.00538,0.00538,0.00538
72,32275.5,1.01919,0.44708,1.04596,0.81925,0.74765,0.79703,0.45349,1.38275,0.7539,0.84926,0.005314,0.005314,0.005314
73,32720.8,1.01803,0.4454,1.04725,0.80575,0.76974,0.79689,0.45349,1.38135,0.75124,0.84822,0.005248,0.005248,0.005248
74,33166.4,1.0176,0.4502,1.04356,0.81405,0.76723,0.79792,0.45583,1.38349,0.75051,0.84812,0.005182,0.005182,0.005182
75,33612.2,1.01144,0.44103,1.04231,0.82456,0.75773,0.79796,0.45744,1.38083,0.74749,0.84792,0.005116,0.005116,0.005116
76,34057.8,1.01426,0.44539,1.04109,0.82358,0.74742,0.79705,0.45762,1.37432,0.74398,0.8473,0.00505,0.00505,0.00505
77,34503.1,1.00704,0.44068,1.0424,0.83137,0.76804,0.80382,0.46115,1.37171,0.74379,0.8475,0.004984,0.004984,0.004984
78,34948.7,1.00886,0.44216,1.03875,0.83883,0.75121,0.80487,0.45706,1.37723,0.74188,0.84893,0.004918,0.004918,0.004918
79,35394,1.00764,0.44024,1.03972,0.83432,0.75278,0.80177,0.45676,1.37316,0.74179,0.84811,0.004852,0.004852,0.004852
80,35839.7,1.01021,0.44048,1.04057,0.84308,0.74742,0.80551,0.45412,1.37635,0.74429,0.84836,0.004786,0.004786,0.004786
81,36285.1,0.99503,0.43495,1.03519,0.84341,0.75258,0.80854,0.45777,1.37574,0.74137,0.8482,0.00472,0.00472,0.00472
82,36730.8,0.99572,0.43193,1.03587,0.85245,0.75258,0.80869,0.45556,1.37393,0.74002,0.84848,0.004654,0.004654,0.004654
83,37176.4,0.99437,0.43334,1.03393,0.84861,0.75258,0.80622,0.4549,1.37472,0.73915,0.84873,0.004588,0.004588,0.004588
84,37621.9,0.99282,0.43333,1.03315,0.84463,0.75258,0.8066,0.45643,1.37502,0.73372,0.84862,0.004522,0.004522,0.004522
85,38067.3,0.98965,0.42912,1.033,0.85146,0.75773,0.81435,0.45696,1.37429,0.73346,0.84866,0.004456,0.004456,0.004456
86,38512.9,0.99012,0.42728,1.03097,0.85109,0.75773,0.81317,0.45607,1.36967,0.73274,0.84748,0.00439,0.00439,0.00439
87,38958.2,0.98823,0.42941,1.03056,0.85187,0.76804,0.81269,0.45468,1.37086,0.73154,0.84706,0.004324,0.004324,0.004324
88,39403.5,0.98381,0.42739,1.02863,0.85629,0.76804,0.81337,0.45776,1.36769,0.72787,0.84731,0.004258,0.004258,0.004258
89,39848.9,0.98623,0.42867,1.03143,0.8432,0.76289,0.80517,0.45092,1.36487,0.72798,0.8471,0.004192,0.004192,0.004192
90,40294.2,0.98361,0.42993,1.03152,0.85439,0.76804,0.81347,0.44967,1.36599,0.72652,0.84734,0.004126,0.004126,0.004126
91,40741.1,0.97835,0.4249,1.02505,0.85302,0.76289,0.80144,0.45303,1.36732,0.72084,0.84736,0.00406,0.00406,0.00406
92,41186.1,0.97358,0.4227,1.02411,0.86126,0.76804,0.80902,0.45419,1.36283,0.71975,0.84758,0.003994,0.003994,0.003994
93,41631.4,0.97303,0.42325,1.02579,0.8617,0.76804,0.80612,0.45471,1.3632,0.72032,0.84725,0.003928,0.003928,0.003928
94,42076.5,0.96938,0.41918,1.02374,0.86475,0.76804,0.80885,0.45595,1.36056,0.71722,0.84677,0.003862,0.003862,0.003862
95,42521.8,0.96722,0.4183,1.02364,0.85421,0.76289,0.80492,0.45576,1.35568,0.71918,0.84654,0.003796,0.003796,0.003796
96,42967.1,0.96316,0.41477,1.02047,0.86539,0.7732,0.80912,0.45704,1.35603,0.71853,0.84664,0.00373,0.00373,0.00373
97,43412.7,0.96146,0.41407,1.01964,0.8686,0.76804,0.80894,0.45934,1.35229,0.71589,0.84658,0.003664,0.003664,0.003664
98,43858.1,0.96012,0.41477,1.02173,0.8696,0.76804,0.80932,0.45788,1.35365,0.71784,0.8465,0.003598,0.003598,0.003598
99,44303.2,0.95387,0.41207,1.01805,0.88145,0.76804,0.8099,0.45764,1.35378,0.71795,0.84647,0.003532,0.003532,0.003532
100,44748.5,0.95414,0.41193,1.01782,0.87565,0.76289,0.80375,0.46012,1.34985,0.71407,0.84637,0.003466,0.003466,0.003466
101,45193.6,0.94753,0.40809,1.01409,0.88082,0.76191,0.80332,0.46162,1.34961,0.71251,0.84659,0.0034,0.0034,0.0034
102,45639,0.946,0.40926,1.01419,0.88006,0.75642,0.8037,0.46588,1.34487,0.70951,0.84614,0.003334,0.003334,0.003334
103,46084.5,0.94384,0.40583,1.01002,0.87536,0.76289,0.80819,0.4636,1.34399,0.70825,0.84698,0.003268,0.003268,0.003268
104,46530,0.94415,0.40779,1.01346,0.87482,0.75652,0.80555,0.46286,1.35091,0.70736,0.84705,0.003202,0.003202,0.003202
105,46975.5,0.93313,0.40071,1.01039,0.87527,0.7596,0.80602,0.46192,1.34501,0.70045,0.84645,0.003136,0.003136,0.003136
106,47420.8,0.92878,0.39972,1.00789,0.86994,0.75852,0.81409,0.46569,1.34247,0.7034,0.84631,0.00307,0.00307,0.00307
107,47866.1,0.92377,0.39719,1.00588,0.87491,0.75712,0.81466,0.46265,1.34171,0.70363,0.84602,0.003004,0.003004,0.003004
108,48311.3,0.92645,0.39652,1.00725,0.87028,0.75773,0.81468,0.46321,1.34128,0.70368,0.8458,0.002938,0.002938,0.002938
109,48756.7,0.91736,0.39394,1.00085,0.85995,0.75966,0.81523,0.46185,1.34075,0.70201,0.84583,0.002872,0.002872,0.002872
110,49202,0.92069,0.39446,1.0025,0.87039,0.75773,0.81515,0.46227,1.34314,0.70412,0.84563,0.002806,0.002806,0.002806
111,49647,0.91585,0.39138,1.00256,0.87799,0.76289,0.8156,0.46399,1.33832,0.69816,0.84602,0.00274,0.00274,0.00274
112,50092,0.91064,0.39065,1.00076,0.87111,0.76643,0.81541,0.46493,1.33652,0.69567,0.8459,0.002674,0.002674,0.002674
113,50537.5,0.91524,0.39125,1.00057,0.88024,0.75771,0.8156,0.46559,1.3364,0.69247,0.84553,0.002608,0.002608,0.002608
114,50982.8,0.90774,0.3905,1.00113,0.88524,0.75549,0.81587,0.46413,1.33433,0.6943,0.8459,0.002542,0.002542,0.002542
115,51428.3,0.90016,0.38697,0.99442,0.88548,0.75727,0.81651,0.46651,1.32743,0.6869,0.84566,0.002476,0.002476,0.002476
116,51873.7,0.89528,0.38366,0.99607,0.86079,0.76496,0.81711,0.4688,1.32644,0.68652,0.84587,0.00241,0.00241,0.00241
117,52319.3,0.89488,0.38546,0.99274,0.86128,0.76813,0.81983,0.47206,1.32361,0.68645,0.84472,0.002344,0.002344,0.002344
118,52764.6,0.89058,0.38181,0.995,0.88072,0.75773,0.81955,0.4736,1.31619,0.68304,0.84513,0.002278,0.002278,0.002278
119,53209.6,0.88729,0.38139,0.99256,0.88386,0.75773,0.81569,0.47234,1.3159,0.68188,0.84504,0.002212,0.002212,0.002212
120,53654.9,0.88515,0.37811,0.9907,0.88042,0.75773,0.81588,0.47304,1.31671,0.68077,0.84497,0.002146,0.002146,0.002146
121,54100.3,0.87558,0.37665,0.98686,0.88746,0.76289,0.82025,0.47389,1.31387,0.68093,0.84502,0.00208,0.00208,0.00208
122,54545.6,0.87719,0.37725,0.98641,0.89271,0.76289,0.82033,0.47028,1.32085,0.68142,0.84518,0.002014,0.002014,0.002014
123,54991.1,0.87046,0.37525,0.98344,0.89263,0.76289,0.82069,0.47215,1.31414,0.68341,0.84519,0.001948,0.001948,0.001948
124,55436.9,0.86627,0.36917,0.98089,0.89336,0.76289,0.82047,0.47277,1.31592,0.68375,0.84458,0.001882,0.001882,0.001882
125,55881.9,0.86064,0.3662,0.97946,0.89141,0.7732,0.82193,0.47182,1.31693,0.68472,0.84491,0.001816,0.001816,0.001816
126,56327.1,0.85619,0.36528,0.97943,0.8962,0.7732,0.82207,0.4705,1.31442,0.68256,0.84429,0.00175,0.00175,0.00175
127,56772.4,0.8566,0.36414,0.97993,0.89899,0.7732,0.82234,0.4715,1.30917,0.68541,0.84436,0.001684,0.001684,0.001684
128,57217.6,0.8496,0.36338,0.9755,0.89991,0.7732,0.8224,0.47194,1.31015,0.68143,0.84417,0.001618,0.001618,0.001618
129,57662.8,0.84447,0.35963,0.97376,0.90025,0.7732,0.82202,0.47041,1.30968,0.68499,0.84422,0.001552,0.001552,0.001552
130,58107.8,0.84095,0.35769,0.97533,0.9028,0.7732,0.82137,0.46999,1.31578,0.68474,0.84419,0.001486,0.001486,0.001486
131,58553.1,0.83852,0.35775,0.97246,0.90055,0.76804,0.82288,0.47152,1.31618,0.68074,0.84363,0.00142,0.00142,0.00142
132,58998.5,0.8346,0.35595,0.97205,0.89714,0.76804,0.82333,0.47291,1.3124,0.6788,0.84381,0.001354,0.001354,0.001354
133,59443.8,0.83198,0.35169,0.96913,0.89741,0.76804,0.8238,0.47373,1.30891,0.67854,0.84375,0.001288,0.001288,0.001288
134,59889.3,0.82175,0.35071,0.96602,0.89805,0.76289,0.82365,0.47235,1.31155,0.67641,0.84379,0.001222,0.001222,0.001222
135,60334.2,0.82366,0.35017,0.96628,0.89744,0.76289,0.82369,0.47211,1.31096,0.67297,0.84351,0.001156,0.001156,0.001156
136,60779.6,0.81684,0.34942,0.96365,0.90323,0.76289,0.82483,0.47374,1.30663,0.67434,0.84305,0.00109,0.00109,0.00109
137,61225,0.81141,0.34618,0.96276,0.89757,0.76289,0.82435,0.47394,1.31014,0.67285,0.8432,0.001024,0.001024,0.001024
138,61670,0.81197,0.34532,0.96317,0.89866,0.76289,0.82226,0.47142,1.30987,0.6716,0.84255,0.000958,0.000958,0.000958
139,62115.2,0.79961,0.34268,0.95677,0.89695,0.76289,0.82043,0.4722,1.31157,0.66933,0.84235,0.000892,0.000892,0.000892
140,62560.6,0.8015,0.34097,0.95844,0.90119,0.76289,0.82007,0.4714,1.31101,0.66879,0.84177,0.000826,0.000826,0.000826
141,63027.9,0.76888,0.30613,0.95604,0.90196,0.76289,0.82027,0.47312,1.31601,0.66612,0.84154,0.00076,0.00076,0.00076
