epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12000.9,1.09108,0.49978,1.08567,0.85028,0.78894,0.82853,0.45079,1.39286,0.70102,1.09957,0.006535,0.006535,0.006535
44,12301.5,1.08612,0.49877,1.08515,0.85011,0.79021,0.82981,0.45075,1.39181,0.69905,1.09906,0.0064525,0.0064525,0.0064525
45,12610.4,1.0893,0.49913,1.08266,0.84701,0.78957,0.83097,0.45054,1.39096,0.69884,1.09815,0.00637,0.00637,0.00637
46,12869.8,1.0863,0.49416,1.08328,0.84863,0.7883,0.83105,0.45115,1.39011,0.69706,1.09806,0.0062875,0.0062875,0.0062875
47,13126.6,1.08608,0.49372,1.08263,0.84182,0.7917,0.83102,0.45117,1.38815,0.6972,1.09761,0.006205,0.006205,0.006205
48,13380.6,1.08566,0.49506,1.08377,0.8449,0.79339,0.83081,0.45142,1.38751,0.69606,1.09694,0.0061225,0.0061225,0.0061225
49,13634.7,1.08276,0.49144,1.07919,0.84571,0.79402,0.8314,0.45138,1.38807,0.6951,1.09653,0.00604,0.00604,0.00604
50,13911.1,1.08212,0.49229,1.07999,0.84663,0.79466,0.83164,0.45149,1.38743,0.69347,1.09567,0.0059575,0.0059575,0.0059575
51,14199.4,1.08054,0.48767,1.08196,0.84546,0.79466,0.83066,0.45069,1.38674,0.69288,1.09513,0.005875,0.005875,0.005875
52,14494.5,1.07891,0.49135,1.07904,0.84491,0.7931,0.83146,0.45199,1.38575,0.6925,1.09431,0.0057925,0.0057925,0.0057925
53,14762.8,1.07347,0.48515,1.07609,0.84633,0.79212,0.83301,0.45181,1.38554,0.69157,1.09378,0.00571,0.00571,0.00571
54,15017.1,1.07683,0.48645,1.077,0.84738,0.79275,0.83294,0.45288,1.38485,0.68999,1.09306,0.0056275,0.0056275,0.0056275
55,15270.5,1.06718,0.48275,1.07301,0.84844,0.79212,0.83322,0.4529,1.38549,0.6896,1.09326,0.005545,0.005545,0.005545
56,15524.2,1.06874,0.47867,1.07269,0.84998,0.78878,0.83221,0.45338,1.38514,0.68873,1.09299,0.0054625,0.0054625,0.0054625
57,15778.6,1.06957,0.47902,1.07295,0.85065,0.78703,0.83263,0.45378,1.38439,0.68822,1.09226,0.00538,0.00538,0.00538
58,16032.9,1.06571,0.47848,1.07375,0.85003,0.78703,0.83354,0.45425,1.38449,0.68872,1.0924,0.0052975,0.0052975,0.0052975
59,16296.3,1.06285,0.47476,1.06923,0.85438,0.78701,0.83388,0.45483,1.38433,0.68774,1.09221,0.005215,0.005215,0.005215
60,16595.7,1.06607,0.47424,1.07109,0.85096,0.7883,0.83396,0.45496,1.38354,0.68754,1.09182,0.0051325,0.0051325,0.0051325
61,16879.4,1.06074,0.47117,1.06915,0.85262,0.78703,0.83551,0.45578,1.38274,0.68661,1.09126,0.00505,0.00505,0.00505
62,17189.3,1.05878,0.46974,1.06857,0.85276,0.78767,0.8368,0.45602,1.38174,0.68548,1.09123,0.0049675,0.0049675,0.0049675
63,17499.2,1.06166,0.4732,1.07027,0.85634,0.78822,0.83666,0.45641,1.38141,0.68553,1.09029,0.004885,0.004885,0.004885
64,17808.7,1.05478,0.46578,1.06914,0.8532,0.79069,0.83725,0.45636,1.38085,0.68507,1.08999,0.0048025,0.0048025,0.0048025
65,18118.7,1.04949,0.46718,1.06645,0.85538,0.78957,0.83823,0.45599,1.37927,0.68388,1.08957,0.00472,0.00472,0.00472
66,18428.4,1.05299,0.46818,1.0652,0.85788,0.78957,0.83884,0.45599,1.37826,0.68352,1.08976,0.0046375,0.0046375,0.0046375
