epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,531.163,0.65894,0.73459,1.06034,0.81319,0.7459,0.81229,0.61831,0.83443,0.8594,1.11881,0.000494885,0.000494885,0.000494885
43,542.28,0.66043,0.70723,1.04732,0.76022,0.76604,0.81416,0.62404,0.79926,0.84387,1.08896,0.000486639,0.000486639,0.000486639
44,553.381,0.67138,0.73193,1.08012,0.78589,0.7353,0.82951,0.64047,0.81191,0.82292,1.1175,0.000478392,0.000478392,0.000478392
45,564.511,0.64676,0.69572,1.0474,0.84487,0.75733,0.84289,0.6648,0.79852,0.81959,1.07776,0.000470145,0.000470145,0.000470145
46,575.591,0.6482,0.70576,1.05176,0.82976,0.74263,0.8234,0.63878,0.79932,0.83571,1.09776,0.000461898,0.000461898,0.000461898
47,586.728,0.65029,0.68493,1.05575,0.79288,0.7484,0.78703,0.61915,0.78171,0.89494,1.08016,0.000453652,0.000453652,0.000453652
48,597.817,0.64154,0.67273,1.05488,0.76593,0.77928,0.81625,0.63521,0.789,0.8473,1.0747,0.000445405,0.000445405,0.000445405
49,608.893,0.63116,0.65394,1.04573,0.84667,0.70303,0.80373,0.62972,0.8041,0.87198,1.0875,0.000437158,0.000437158,0.000437158
50,619.976,0.62528,0.67511,1.03715,0.78828,0.76689,0.83324,0.6544,0.79152,0.79809,1.07842,0.000428912,0.000428912,0.000428912
51,631.09,0.60704,0.63134,1.02729,0.83692,0.74797,0.83773,0.66518,0.78051,0.79861,1.076,0.000420665,0.000420665,0.000420665
52,642.193,0.61235,0.65707,1.04209,0.86274,0.74974,0.84466,0.67475,0.76215,0.76201,1.05352,0.000412418,0.000412418,0.000412418
53,653.235,0.60791,0.64523,1.03174,0.77356,0.79334,0.83908,0.66211,0.7818,0.77748,1.07225,0.000404172,0.000404172,0.000404172
54,664.207,0.61146,0.62464,1.03881,0.86661,0.79458,0.86626,0.68981,0.74911,0.72656,1.04573,0.000395925,0.000395925,0.000395925
55,675.286,0.62554,0.6371,1.05136,0.86422,0.74634,0.85068,0.66441,0.78021,0.78283,1.07297,0.000387678,0.000387678,0.000387678
56,686.352,0.60884,0.62037,1.02242,0.79637,0.79693,0.84078,0.67266,0.75076,0.76198,1.05442,0.000379431,0.000379431,0.000379431
57,697.446,0.59091,0.58552,1.02404,0.82407,0.7495,0.83108,0.65915,0.77448,0.78291,1.07101,0.000371185,0.000371185,0.000371185
58,708.641,0.59896,0.61473,1.02796,0.80621,0.78835,0.85234,0.68567,0.75961,0.74983,1.05592,0.000362938,0.000362938,0.000362938
59,719.926,0.59921,0.61268,1.03319,0.79627,0.7982,0.85956,0.69252,0.76091,0.74599,1.06617,0.000354691,0.000354691,0.000354691
60,731.094,0.58027,0.59068,1.01664,0.85197,0.74704,0.84648,0.68511,0.75172,0.74507,1.06543,0.000346445,0.000346445,0.000346445
61,742.297,0.59384,0.60319,1.02303,0.84882,0.74324,0.82823,0.65518,0.77494,0.77815,1.06563,0.000338198,0.000338198,0.000338198
62,753.354,0.56739,0.58036,1.01645,0.83207,0.74644,0.84854,0.67776,0.75952,0.7573,1.06643,0.000329951,0.000329951,0.000329951
63,764.425,0.57952,0.58262,1.01809,0.83023,0.75596,0.85408,0.68581,0.74802,0.72215,1.05168,0.000321705,0.000321705,0.000321705
64,775.68,0.55757,0.54562,1.00634,0.81045,0.80516,0.85114,0.67965,0.75151,0.73461,1.04616,0.000313458,0.000313458,0.000313458
65,786.825,0.56731,0.5635,1.00697,0.84995,0.77918,0.857,0.69742,0.73427,0.70876,1.04591,0.000305211,0.000305211,0.000305211
66,798.046,0.55804,0.5543,0.99674,0.82004,0.75695,0.84338,0.68574,0.73626,0.73734,1.04373,0.000296964,0.000296964,0.000296964
67,809.252,0.56024,0.54143,1.00298,0.83129,0.8106,0.86025,0.70293,0.73129,0.73086,1.04661,0.000288718,0.000288718,0.000288718
68,820.372,0.56281,0.55603,1.01119,0.83353,0.77005,0.85206,0.68773,0.73432,0.71729,1.04354,0.000280471,0.000280471,0.000280471
69,831.604,0.55643,0.54596,1.00246,0.78089,0.82596,0.85636,0.69419,0.73598,0.70814,1.04221,0.000272224,0.000272224,0.000272224
70,842.802,0.55765,0.53162,1.00601,0.82411,0.77785,0.83856,0.67986,0.72655,0.74034,1.02694,0.000263978,0.000263978,0.000263978
71,856.449,0.54392,0.52112,1.00368,0.84572,0.72885,0.84366,0.68563,0.74706,0.76938,1.04903,0.000255731,0.000255731,0.000255731
72,867.853,0.54138,0.52856,0.99593,0.88774,0.75331,0.85393,0.70343,0.70174,0.70597,1.02799,0.000247484,0.000247484,0.000247484
73,878.948,0.55024,0.52836,0.98937,0.82066,0.79794,0.85739,0.7017,0.73107,0.7124,1.03237,0.000239238,0.000239238,0.000239238
74,890.156,0.54825,0.5368,1.01305,0.86779,0.78952,0.87717,0.71802,0.71792,0.66122,1.03027,0.000230991,0.000230991,0.000230991
75,901.328,0.53384,0.51803,0.99148,0.86821,0.81399,0.86809,0.71312,0.71305,0.69305,1.01979,0.000222744,0.000222744,0.000222744
76,912.477,0.53948,0.51441,0.99258,0.85437,0.79702,0.87462,0.71205,0.72226,0.70042,1.03175,0.000214497,0.000214497,0.000214497
77,925.069,0.53213,0.50096,0.99669,0.86443,0.79185,0.86887,0.70542,0.73295,0.70814,1.03033,0.000206251,0.000206251,0.000206251
78,939.064,0.52951,0.50411,0.99215,0.83066,0.80881,0.8577,0.69709,0.72948,0.72323,1.02693,0.000198004,0.000198004,0.000198004
79,953.823,0.51269,0.4883,0.98012,0.91566,0.75424,0.86841,0.72221,0.69531,0.68257,1.01095,0.000189757,0.000189757,0.000189757
80,967.22,0.52619,0.50635,0.99624,0.87115,0.79844,0.86753,0.7198,0.69155,0.69287,1.00673,0.000181511,0.000181511,0.000181511
81,980.237,0.52408,0.49049,0.98092,0.84805,0.78884,0.8618,0.71001,0.68807,0.68152,1.0107,0.000173264,0.000173264,0.000173264
82,994.574,0.51917,0.48158,0.99577,0.84613,0.786,0.86179,0.71701,0.69129,0.70101,1.01794,0.000165017,0.000165017,0.000165017
83,1009.09,0.50289,0.48057,0.97821,0.8397,0.79713,0.86307,0.7208,0.69213,0.7093,1.01564,0.000156771,0.000156771,0.000156771
84,1023.78,0.51965,0.47721,0.98517,0.85401,0.76747,0.86361,0.70898,0.69577,0.73632,1.0089,0.000148524,0.000148524,0.000148524
85,1038.32,0.50846,0.47943,0.97106,0.85011,0.80182,0.85642,0.7114,0.69391,0.72201,1.01333,0.000140277,0.000140277,0.000140277
86,1052.68,0.50289,0.46709,0.97377,0.85504,0.7556,0.85783,0.72059,0.69063,0.72607,1.00665,0.000132031,0.000132031,0.000132031
87,1067.03,0.50527,0.45809,0.98281,0.85279,0.76566,0.85025,0.70812,0.70318,0.72194,1.01674,0.000123784,0.000123784,0.000123784
88,1081,0.50337,0.4556,0.98055,0.85204,0.79317,0.85814,0.71414,0.69378,0.72349,1.01519,0.000115537,0.000115537,0.000115537
89,1095.14,0.4989,0.45665,0.96358,0.82818,0.8097,0.85078,0.71368,0.68739,0.71387,1.01112,0.00010729,0.00010729,0.00010729
90,1108.3,0.49437,0.46936,0.97887,0.87287,0.78279,0.84816,0.71226,0.69085,0.72402,1.00992,9.90437e-05,9.90437e-05,9.90437e-05
91,1141.01,0.45762,0.39475,0.92184,0.81641,0.82064,0.85285,0.71007,0.70803,0.71097,1.02169,9.0797e-05,9.0797e-05,9.0797e-05
92,1155.69,0.43881,0.36912,0.91225,0.88423,0.78135,0.862,0.7173,0.703,0.71903,1.01694,8.25503e-05,8.25503e-05,8.25503e-05
93,1170.38,0.42363,0.34312,0.90134,0.86231,0.78792,0.85286,0.71161,0.70009,0.71901,1.02259,7.43036e-05,7.43036e-05,7.43036e-05
94,1184.89,0.42083,0.34591,0.89909,0.85882,0.80956,0.8623,0.71752,0.69685,0.6955,1.01957,6.60569e-05,6.60569e-05,6.60569e-05
95,1199.24,0.42603,0.3466,0.90274,0.8614,0.81485,0.86563,0.71563,0.69237,0.69475,1.01519,5.78102e-05,5.78102e-05,5.78102e-05
96,1213.54,0.42018,0.33444,0.90239,0.85137,0.82368,0.86285,0.71323,0.69506,0.7022,1.01644,4.95635e-05,4.95635e-05,4.95635e-05
97,1227.96,0.41781,0.33639,0.90404,0.86243,0.80922,0.86423,0.71862,0.69555,0.71241,1.01315,4.13168e-05,4.13168e-05,4.13168e-05
98,1242.67,0.41298,0.32995,0.90155,0.8581,0.82158,0.86503,0.7228,0.69077,0.6987,1.00848,3.30701e-05,3.30701e-05,3.30701e-05
99,1257.4,0.40781,0.32055,0.89094,0.8659,0.80942,0.86309,0.72198,0.68976,0.71023,1.01011,2.48234e-05,2.48234e-05,2.48234e-05
100,1270.61,0.40046,0.31977,0.89656,0.85656,0.80416,0.86356,0.72359,0.68833,0.70569,1.00967,1.65767e-05,1.65767e-05,1.65767e-05
