epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.475,0.65218,2.49133,1.16479,0.78517,0.75165,0.83951,0.69094,0.64041,1.28386,1.14772,0.000330808,0.000330808,0.000330808
2,54.6475,0.69609,1.47348,1.17729,0.76907,0.69361,0.7827,0.59321,0.85319,1.40598,1.41844,0.000657566,0.000657566,0.000657566
3,79.5476,0.70354,1.33135,1.18049,0.74094,0.74711,0.80101,0.5402,0.96997,1.26133,1.47797,0.000977725,0.000977725,0.000977725
4,104.531,0.72561,1.17081,1.186,0.72125,0.73201,0.79393,0.62408,0.7479,1.12638,1.25832,0.0009703,0.0009703,0.0009703
5,129.378,0.68454,1.08334,1.16666,0.78867,0.74512,0.82055,0.68386,0.65532,1.07637,1.17519,0.0009604,0.0009604,0.0009604
6,154.077,0.67386,0.99731,1.14798,0.83011,0.82339,0.89902,0.75747,0.59956,0.77772,1.12395,0.0009505,0.0009505,0.0009505
7,178.912,0.65277,0.9161,1.14436,0.84965,0.81218,0.8987,0.74776,0.62731,0.7705,1.15424,0.0009406,0.0009406,0.0009406
8,208.475,0.64571,0.87343,1.1341,0.85916,0.80503,0.89609,0.75625,0.61357,0.76208,1.13349,0.0009307,0.0009307,0.0009307
9,239.833,0.63299,0.81301,1.12658,0.87782,0.83628,0.91582,0.78758,0.56361,0.63463,1.09204,0.0009208,0.0009208,0.0009208
10,269.402,0.61887,0.77467,1.11675,0.87857,0.85939,0.91935,0.77784,0.5925,0.64524,1.12985,0.0009109,0.0009109,0.0009109
11,294.159,0.59089,0.72888,1.0987,0.8446,0.86416,0.91393,0.76338,0.60775,0.65308,1.13797,0.000901,0.000901,0.000901
12,318.737,0.59885,0.71521,1.11245,0.90636,0.84785,0.93998,0.8132,0.54025,0.57235,1.06831,0.0008911,0.0008911,0.0008911
13,343.261,0.57595,0.68765,1.08778,0.89507,0.82044,0.92933,0.81844,0.50813,0.59322,1.04324,0.0008812,0.0008812,0.0008812
14,367.91,0.57273,0.67557,1.08625,0.93686,0.8522,0.93521,0.81587,0.54396,0.52714,1.07233,0.0008713,0.0008713,0.0008713
15,392.501,0.57381,0.64785,1.09094,0.89734,0.88083,0.94139,0.80139,0.5695,0.57986,1.0917,0.0008614,0.0008614,0.0008614
16,417.182,0.55517,0.64405,1.0822,0.93481,0.85499,0.94448,0.83494,0.5216,0.51166,1.04347,0.0008515,0.0008515,0.0008515
17,441.866,0.55004,0.61586,1.07021,0.92249,0.8666,0.94765,0.82857,0.53069,0.49797,1.06283,0.0008416,0.0008416,0.0008416
18,466.782,0.54872,0.6165,1.06957,0.90236,0.89209,0.94694,0.83202,0.52135,0.48702,1.04791,0.0008317,0.0008317,0.0008317
19,491.523,0.54177,0.57889,1.07216,0.94557,0.87302,0.95496,0.84694,0.51404,0.46087,1.04202,0.0008218,0.0008218,0.0008218
20,516.094,0.53613,0.57534,1.06338,0.94724,0.88327,0.95494,0.84961,0.49464,0.43899,1.03964,0.0008119,0.0008119,0.0008119
21,540.871,0.52426,0.56685,1.05131,0.93686,0.8502,0.95016,0.83935,0.48971,0.48319,1.01545,0.000802,0.000802,0.000802
22,565.486,0.52508,0.55979,1.05673,0.93737,0.90393,0.96425,0.85366,0.49148,0.42876,1.01837,0.0007921,0.0007921,0.0007921
23,590.329,0.52181,0.54941,1.05366,0.93813,0.88628,0.95262,0.84903,0.4822,0.43968,1.02068,0.0007822,0.0007822,0.0007822
24,615.189,0.52818,0.54147,1.05617,0.95058,0.89237,0.95583,0.85073,0.478,0.41661,1.01888,0.0007723,0.0007723,0.0007723
